,Chuffed + SB,Optimallty_Chuffed + SB,Chuffed w/out SB,Optimallty_Chuffed w/out SB,Gecode + SB,Optimallty_Gecode + SB,Gecode w/out SB,Optimallty_Gecode w/out SB
1,14,True,14,True,14,True,14,True
2,226,True,226,True,226,True,226,True
3,12,True,12,True,12,True,12,True
4,220,True,220,True,220,True,220,True
5,206,True,206,True,206,True,206,True
6,322,True,322,True,322,True,322,True
7,167,True,186,False,167,True,186,False
8,186,True,186,True,186,True,186,True
9,436,True,436,True,436,True,436,True
10,244,True,244,True,244,True,244,True
11,471,False,807,False,N/A,False,N/A,False
12,470,False,722,False,716,False,N/A,False
13,646,False,642,False,650,False,654,False
14,N/A,False,1250,False,N/A,False,N/A,False
15,N/A,False,N/A,False,N/A,False,N/A,False
16,286,True,827,False,314,False,956,False
17,N/A,False,N/A,False,N/A,False,N/A,False
18,820,False,1058,False,N/A,False,N/A,False
19,736,False,1692,False,627,False,1231,False
20,N/A,False,N/A,False,N/A,False,N/A,False
21,1066,False,1264,False,N/A,False,N/A,False
